date,day_of_week,season,location,listing_type,base_price,demand_index,competitor_avg_price,occupancy_rate,event,customer_rating,lead_time,weather_score,final_price,discount_offered
2025-01-01,Wednesday,Winter,New York,Hostel,218.54,0.96,238.82,71.91,No,3.3,18,0.37,273.12,0.0
2025-01-02,Thursday,Winter,Los Angeles,Hotel,256.66,0.47,220.0,75.56,Yes,3.1,23,0.88,311.76,0.0
2025-01-03,Friday,Winter,Miami,Hostel,145.55,0.35,127.12,51.3,No,4.0,43,0.32,119.66,12.9
2025-01-04,Saturday,Winter,Seattle,Airbnb,229.94,0.24,273.51,46.29,No,3.2,50,0.57,163.39,19.7
2025-01-05,Sunday,Winter,Seattle,Airbnb,260.04,0.89,278.79,61.53,Yes,3.0,24,0.98,348.61,0.0
2025-01-06,Monday,Winter,Los Angeles,Hostel,413.78,0.44,347.19,77.9,No,3.9,6,0.73,438.48,0.0
2025-01-07,Tuesday,Winter,Chicago,Hostel,424.94,0.34,406.42,42.76,No,4.5,5,0.45,336.06,13.5
2025-01-08,Wednesday,Winter,New York,Hotel,64.09,0.87,62.8,57.66,Yes,4.9,30,0.95,84.66,0.0
2025-01-09,Thursday,Winter,Boston,Airbnb,89.82,0.36,73.48,52.77,No,3.8,17,0.68,73.74,13.8
2025-01-10,Friday,Winter,Austin,Hotel,484.36,0.69,440.96,50.74,No,3.3,24,0.99,522.25,0.0
2025-01-11,Saturday,Winter,Miami,Airbnb,397.51,0.36,318.89,87.08,No,4.4,34,0.85,360.32,14.1
2025-01-12,Sunday,Winter,Austin,Hostel,466.84,0.72,544.33,89.5,No,3.9,32,0.34,563.24,0.0
2025-01-13,Monday,Winter,Austin,Hotel,189.94,0.46,207.38,74.63,Yes,4.8,0,0.57,229.43,0.0
2025-01-14,Tuesday,Winter,Austin,Hotel,487.27,0.88,530.49,46.52,No,3.5,26,0.67,492.84,11.4
2025-01-15,Wednesday,Winter,Seattle,Hotel,61.44,0.29,49.92,74.55,No,3.6,31,0.79,56.48,7.1
2025-01-16,Thursday,Winter,Los Angeles,Hotel,321.99,0.63,283.75,96.0,Yes,4.2,50,0.41,431.47,0.0
2025-01-17,Friday,Winter,Miami,Hotel,468.36,0.85,493.35,91.0,No,4.6,43,0.59,591.54,0.0
2025-01-18,Saturday,Winter,Chicago,Hotel,447.48,0.46,379.84,54.94,No,4.8,0,0.46,446.95,0.0
2025-01-19,Sunday,Winter,Boston,Airbnb,242.2,0.85,277.15,30.49,Yes,4.0,8,0.64,252.33,15.4
2025-01-20,Monday,Winter,Austin,Hotel,171.24,0.4,148.52,45.31,Yes,4.1,51,0.55,150.89,19.6
2025-01-21,Tuesday,Winter,New York,Hostel,483.1,0.4,482.57,51.06,No,3.6,16,0.49,465.31,0.0
2025-01-22,Wednesday,Winter,Los Angeles,Airbnb,489.48,0.53,398.06,54.15,Yes,4.3,1,0.67,574.87,0.0
2025-01-23,Thursday,Winter,Miami,Hotel,251.5,0.64,260.83,35.66,Yes,3.7,16,0.81,261.78,10.5
2025-01-24,Friday,Winter,San Francisco,Airbnb,334.54,0.71,339.33,36.32,No,4.7,59,0.66,295.18,15.4
2025-01-25,Saturday,Winter,Austin,Hotel,436.26,0.46,387.44,79.78,Yes,4.6,19,0.75,533.69,0.0
2025-01-26,Sunday,Winter,Boston,Hostel,128.46,0.75,122.64,95.57,No,3.3,27,0.81,158.87,0.0
2025-01-27,Monday,Winter,New York,Hostel,144.08,0.63,155.36,46.0,No,3.3,47,0.69,130.51,12.9
2025-01-28,Tuesday,Winter,Boston,Hostel,158.83,0.27,184.07,93.03,No,4.3,8,0.5,139.19,15.5
2025-01-29,Wednesday,Winter,San Francisco,Hotel,431.0,0.89,414.54,92.14,No,4.7,48,0.41,552.72,0.0
2025-01-30,Thursday,Winter,Seattle,Hotel,454.35,0.69,365.15,37.1,Yes,4.3,28,0.5,487.66,9.6
2025-01-31,Friday,Winter,Miami,Hostel,268.53,0.56,321.64,42.31,Yes,3.0,13,0.53,258.99,16.2
2025-02-01,Saturday,Winter,Los Angeles,Airbnb,342.33,0.88,363.91,69.78,No,3.2,50,0.75,414.68,0.0
2025-02-02,Sunday,Winter,Austin,Hostel,162.71,0.67,193.88,64.07,Yes,4.8,26,0.86,205.05,0.0
2025-02-03,Monday,Winter,Austin,Hotel,276.19,0.66,275.36,43.67,Yes,4.4,18,0.7,275.59,16.5
